,Quarter,Tm,Detail,DET,BOS
0,1.0,Lions,Bill Dudley 64 yard pass from Clyde LeForce (Roy Zimmerman kick),7,0
1,1.0,Lions,Bill Dudley 41 yard interception return (Roy Zimmerman kick),14,0
2,4.0,Lions,Ted Cook 10 yard pass from Bill Dudley (Roy Zimmerman kick),21,0
3,4.0,Yanks,Bill Chipley 29 yard pass from Boley Dancewicz (Frank Maznicki kick),21,7
