,Quarter,Tm,Detail,NYG,CLE
0,1.0,Browns,Ray Renfro 43 yard pass from Milt Plum (Lou Groza kick),0,7
1,2.0,Giants,Y.A. Tittle 5 yard rush (Pat Summerall kick),7,7
2,2.0,Giants,Bob Gaiters 1 yard rush (Pat Summerall kick),14,7
3,2.0,Browns,Jim Brown 1 yard rush (Lou Groza kick),14,14
4,3.0,Giants,Pat Summerall 34 yard field goal,17,14
5,3.0,Giants,Pat Summerall 17 yard field goal,20,14
6,4.0,Giants,Bob Gaiters 11 yard rush (Pat Summerall kick),27,14
7,4.0,Giants,Erich Barnes 35 yard interception return (Pat Summerall kick),34,14
8,4.0,Browns,Ray Renfro 15 yard pass from Milt Plum (Lou Groza kick),34,21
9,4.0,Giants,Pat Summerall 11 yard field goal,37,21
