,Quarter,Tm,Detail,NYJ,BUF
0,1.0,Jets,Steve Tannen 41 yard blocked punt return (Jim Turner kick),7,0
1,1.0,Bills,O.J. Simpson 95 yard kickoff return (Grant Guthrie kick),7,7
2,1.0,Jets,Rich Caster 72 yard pass from Joe Namath (Jim Turner kick),14,7
3,1.0,Jets,Jim Turner 22 yard field goal,17,7
4,2.0,Bills,Grant Guthrie 10 yard field goal,17,10
5,2.0,Jets,George Sauer 25 yard pass from Joe Namath (Jim Turner kick),24,10
6,2.0,Bills,Grant Guthrie 40 yard field goal,24,13
7,3.0,Bills,Marlin Briscoe 19 yard pass from Dennis Shaw (Grant Guthrie kick),24,20
8,3.0,Jets,Emerson Boozer 6 yard rush (Jim Turner kick),31,20
9,4.0,Bills,O.J. Simpson 1 yard rush (Grant Guthrie kick),31,27
10,4.0,Bills,Marlin Briscoe 25 yard pass from Dennis Shaw (Grant Guthrie kick),31,34
