,Quarter,Tm,Detail,ATL,WAS
0,1.0,Falcons,Mike Pritchard 29 yard pass from Bobby Hebert (Norm Johnson kick),7,0
1,2.0,Redskins,"Safety, Coleman tackled Alexander in end zone",7,2
2,2.0,Redskins,Mark Rypien 1 yard rush (Chip Lohmiller kick),7,9
3,2.0,Redskins,A.J. Johnson 69 yard interception return (Chip Lohmiller kick),7,16
4,3.0,Falcons,Steve Broussard 2 yard rush (Norm Johnson kick),14,16
5,4.0,Falcons,Norm Johnson 41 yard field goal,17,16
6,4.0,Redskins,Earnest Byner 8 yard rush (Chip Lohmiller kick),17,23
7,4.0,Redskins,Monte Coleman 29 yard defensive fumble return (Chip Lohmiller kick),17,30
