,Quarter,Tm,Detail,KAN,HOU
0,1,Oilers,Allen Pinkett 1 yard rush (Ian Howfield kick),0,7
1,2,Chiefs,Christian Okoye 2 yard rush (Nick Lowery kick),7,7
2,3,Oilers,Haywood Jeffires 4 yard pass from Warren Moon (Ian Howfield kick),7,14
3,4,Oilers,Ian Howfield 23 yard field goal,7,17
