,Quarter,Tm,Detail,BOS,NYG
0,1.0,Yanks,Ralph Heywood 56 yard fumble return (Nick Scollard kick),7,0
1,1.0,Yanks,Bill Paschal 9 yard pass from Gene Malinowski (Nick Scollard kick),14,0
2,2.0,Giants,Ray Poole 14 yard pass from Charlie Conerly (Len Younce kick),14,7
3,2.0,Giants,Charlie Conerly 1 yard rush (Len Younce kick),14,14
4,2.0,Giants,Charlie Conerly 14 yard rush (Len Younce kick),14,21
5,3.0,Giants,Bill Swiacki 23 yard pass from Charlie Conerly (Len Younce kick),14,28
