,Quarter,Tm,Detail,BUF,CHI
0,2.0,Bears,Red Grange 1 yard rush (Joey Sternaman kick),0,7
1,2.0,Bisons,Cassy Ryan 85 yard kickoff return (Chuck Weimer kick),7,7
2,4.0,Bisons,Chuck Weimer 38 yard field goal,10,7
3,4.0,Bisons,Chuck Weimer 40 yard field goal,13,7
4,4.0,Bisons,Chuck Weimer unknown yard rush,19,7
