,Quarter,Tm,Detail,MIA,NOR
0,1.0,Dolphins,Jim Mandich 3 yard pass from Bob Griese (Garo Yepremian kick),7,0
1,1.0,Dolphins,Nat Moore 12 yard pass from Bob Griese (Garo Yepremian kick),14,0
2,2.0,Dolphins,Jim Mandich 2 yard pass from Bob Griese (Garo Yepremian kick),21,0
