,Quarter,Tm,Detail,NYG,STL
0,2.0,Cardinals,Johnny Roland 13 yard pass from Gary Cuozzo (Jim Bakken kick),0,7
1,2.0,Giants,Pete Gogolak 40 yard field goal,3,7
2,4.0,Giants,Pete Gogolak 21 yard field goal,6,7
3,4.0,Giants,Ron Johnson 1 yard rush (Pete Gogolak kick),13,7
