,Quarter,Tm,Detail,MIA,DET
0,1.0,Lions,Eddie Murray 46 yard field goal,0,3
1,1.0,Dolphins,Pete Stoyanovich 18 yard field goal,3,3
2,2.0,Dolphins,Mark Higgs 4 yard rush (Pete Stoyanovich kick),10,3
3,2.0,Lions,Willie Green 26 yard pass from Rodney Peete (Eddie Murray kick),10,10
4,3.0,Lions,Rodney Peete 6 yard rush (Eddie Murray kick),10,17
5,4.0,Dolphins,Pete Stoyanovich 47 yard field goal,13,17
