,Quarter,Time,Tm,Detail,NWE,IND
0,1.0,,Patriots,Ben Coates 2 yard pass from Drew Bledsoe (Adam Vinatieri kick),7,0
1,1.0,,Colts,Lamont Warren 4 yard pass from Peyton Manning (Mike Vanderjagt kick),7,7
2,2.0,,Patriots,Robert Edwards 1 yard rush (Adam Vinatieri kick),14,7
3,2.0,0:05,Colts,Mike Vanderjagt 49 yard field goal,14,10
4,4.0,14:26,Patriots,Tony Simmons 63 yard pass from Drew Bledsoe (Adam Vinatieri kick),21,10
5,4.0,14:26,Colts,Marcus Pollard 15 yard pass from Peyton Manning (run failed),21,16
