,Quarter,Tm,Detail,PHI,DAL
0,1.0,Eagles,Pete Retzlaff 29 yard pass from King Hill (Sam Baker kick),7,0
1,2.0,Eagles,Sam Baker 43 yard field goal,10,0
2,3.0,Cowboys,Don Meredith 3 yard rush (Dick Van Raaphorst kick),10,7
3,4.0,Cowboys,Don Perkins 2 yard rush (Dick Van Raaphorst kick),10,14
4,4.0,Eagles,Pete Retzlaff 38 yard pass from King Hill (Sam Baker kick),17,14
