,Quarter,Time,Tm,Detail,MIN,LAC
0,1.0,9:18,Vikings,Irv Smith Jr. 1 yard pass from Kirk Cousins (Dan Bailey kick failed),6,0
1,1.0,4:40,Chargers,Michael Badgley 41 yard field goal,6,3
2,2.0,15:00,Vikings,Dan Bailey 26 yard field goal,9,3
3,2.0,8:46,Chargers,Mike Williams 2 yard pass from Philip Rivers (Michael Badgley kick),9,10
4,2.0,4:22,Vikings,Dan Bailey 44 yard field goal,12,10
5,2.0,0:23,Vikings,Ifeadi Odenigbo 56 yard fumble return (Dan Bailey kick),19,10
6,3.0,12:41,Vikings,Dan Bailey 38 yard field goal,22,10
7,3.0,7:10,Vikings,Dan Bailey 27 yard field goal,25,10
8,4.0,10:30,Vikings,Mike Boone 8 yard rush (Dan Bailey kick),32,10
9,4.0,8:48,Vikings,Mike Boone 2 yard rush (Dan Bailey kick),39,10
