,Quarter,Tm,Detail,STL,DET
0,2.0,Lions,Errol Mann 13 yard field goal,0,3
1,3.0,Lions,Earl McCullouch 43 yard pass from Larry Walton (Errol Mann kick),0,10
2,4.0,Lions,Charlie Sanders 28 yard pass from Greg Landry (Errol Mann kick),0,17
3,4.0,Lions,Errol Mann 25 yard field goal,0,20
