,Quarter,Tm,Detail,RAI,ATL
0,1.0,Falcons,Jessie Tuggle 18 yard defensive fumble return (Norm Johnson kick),0,7
1,2.0,Raiders,Andrew Glover 4 yard pass from Jay Schroeder (Jeff Jaeger kick),7,7
2,3.0,Raiders,Ethan Horton 5 yard pass from Jay Schroeder (Jeff Jaeger kick),14,7
3,3.0,Falcons,Steve Broussard 25 yard pass from Chris Miller (Norm Johnson kick),14,14
4,4.0,Falcons,Michael Haynes 46 yard pass from Chris Miller (Norm Johnson kick),14,21
5,4.0,Raiders,Jeff Jaeger 49 yard field goal,17,21
