,Quarter,Tm,Detail,WAS,NOR
0,1.0,Redskins,Charlie Brown 57 yard pass from Joe Theismann (Mark Moseley kick),7,0
1,2.0,Saints,Jimmy Rogers 4 yard rush (Morten Andersen kick),7,7
2,2.0,Redskins,Charlie Brown 58 yard pass from Joe Theismann (Mark Moseley kick),14,7
3,2.0,Redskins,Mark Moseley 36 yard field goal,17,7
4,3.0,Saints,Morten Andersen 36 yard field goal,17,10
5,4.0,Redskins,Mark Moseley 45 yard field goal,20,10
6,4.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),27,10
