,Quarter,Tm,Detail,SFO,MIN
0,1.0,Vikings,Fuad Reveiz 34 yard field goal,0,3
1,2.0,Vikings,Herschel Walker 9 yard rush (Fuad Reveiz kick),0,10
2,3.0,49ers,Mike Cofer 29 yard field goal,3,10
3,4.0,49ers,Mike Cofer 35 yard field goal,6,10
4,4.0,49ers,Jerry Rice 14 yard pass from Steve Young (Mike Cofer kick),13,10
5,4.0,Vikings,Alfred Anderson 1 yard rush (Fuad Reveiz kick),13,17
6,4.0,49ers,John Taylor 34 yard pass from Steve Young (Mike Cofer kick),20,17
