,Quarter,Tm,Detail,SFO,BAL
0,1.0,Colts,Alex Hawkins 1 yard rush (Steve Myhra kick),0,7
1,2.0,49ers,Tommy Davis 11 yard field goal,3,7
2,2.0,49ers,Monty Stickles 15 yard pass from John Brodie (Tommy Davis kick),10,7
3,2.0,Colts,Steve Myhra 32 yard field goal,10,10
4,4.0,49ers,J.D. Smith 3 yard rush (Tommy Davis kick),17,10
5,4.0,Colts,Steve Myhra 23 yard field goal,17,13
6,4.0,Colts,Jimmy Orr 41 yard pass from Johnny Unitas (Steve Myhra kick),17,20
