,Quarter,Time,Tm,Detail,TEN,ARI
0,2.0,7:16,Titans,Derrick Henry 6 yard rush (Ryan Succop kick),7,0
1,3.0,9:36,Cardinals,Phil Dawson 47 yard field goal,7,3
2,3.0,4:44,Cardinals,Phil Dawson 23 yard field goal,7,6
3,4.0,5:59,Cardinals,Phil Dawson 32 yard field goal,7,9
4,4.0,3:45,Cardinals,Phil Dawson 35 yard field goal,7,12
