,Quarter,Tm,Detail,CHI,BAL
0,1.0,Bears,Angelo Coia 15 yard pass from Billy Wade (Roger LeClerc kick),7,0
1,2.0,Bears,Mike Ditka 5 yard pass from Billy Wade (Roger LeClerc kick),14,0
2,2.0,Bears,Joe Marconi 1 yard rush,20,0
3,3.0,Bears,Roger LeClerc 9 yard field goal,23,0
4,3.0,Bears,Billy Wade 5 yard rush,29,0
5,3.0,Bears,Johnny Morris 3 yard pass from Billy Wade (Roger LeClerc kick),36,0
6,4.0,Bears,Rick Casares 1 yard rush (Roger LeClerc kick),43,0
7,4.0,Bears,Angelo Coia 65 yard pass from Rudy Bukich (Roger LeClerc kick),50,0
8,4.0,Bears,Charlie Bivins 12 yard rush (Roger LeClerc kick),57,0
