,Quarter,Tm,Detail,PRV,POT
0,3.0,Maroons,Jim Welsh 20 yard field goal,0,3
1,4.0,Maroons,"Safety,",0,5
2,4.0,Maroons,Jim Welsh 25 yard field goal,0,8
