,Quarter,Tm,Detail,KAN,DEN
0,1.0,Chiefs,"Safety, Hackett tackled Dorsett in end zone",2,0
1,2.0,Broncos,Vance Johnson 6 yard pass from John Elway (Rich Karlis kick),2,7
2,2.0,Broncos,Sammy Winder 1 yard rush (Rich Karlis kick),2,14
3,2.0,Chiefs,Nick Lowery 46 yard field goal,5,14
4,3.0,Chiefs,Nick Lowery 29 yard field goal,8,14
5,4.0,Broncos,Rich Karlis 42 yard field goal,8,17
6,4.0,Chiefs,Nick Lowery 34 yard field goal,11,17
