,Quarter,Tm,Detail,MIN,SFO
0,1.0,49ers,Bernie Casey 36 yard pass from John Brodie (Tommy Davis kick),0,7
1,1.0,49ers,Bernie Casey 26 yard pass from John Brodie (Tommy Davis kick),0,14
2,2.0,49ers,Ken Willard 1 yard rush (Tommy Davis kick),0,21
3,2.0,Vikings,Tommy Mason 7 yard rush (Fred Cox kick),7,21
4,2.0,49ers,Jack Chapple 8 yard fumble return (Tommy Davis kick),7,28
5,2.0,Vikings,Tommy Mason 1 yard rush (Fred Cox kick),14,28
6,2.0,49ers,Bernie Casey 21 yard pass from John Brodie (Tommy Davis kick),14,35
7,3.0,Vikings,Hal Bedsole 10 yard pass from Fran Tarkenton (Fred Cox kick),21,35
8,3.0,49ers,Tommy Davis 37 yard field goal,21,38
9,3.0,Vikings,Tommy Mason 21 yard rush (Fred Cox kick),28,38
10,3.0,Vikings,Paul Flatley 14 yard pass from Fran Tarkenton (Fred Cox kick),35,38
11,4.0,Vikings,Paul Flatley 58 yard pass from Fran Tarkenton (Fred Cox kick),42,38
12,4.0,49ers,Tommy Davis 22 yard field goal,42,41
