,Quarter,Tm,Detail,SDG,HOU
0,1.0,Oilers,Pete Beathard 2 yard rush (Roy Gerela kick),0,7
1,2.0,Chargers,Gary Garrison 23 yard pass from Marty Domres (Dennis Partee kick),7,7
2,2.0,Oilers,Hoyle Granger 3 yard pass from Don Trull (Roy Gerela kick),7,14
3,2.0,Oilers,Roy Gerela 42 yard field goal,7,17
4,3.0,Chargers,Russ Smith 2 yard rush (Dennis Partee kick),14,17
5,4.0,Chargers,Kenny Graham 11 yard interception return (Dennis Partee kick),21,17
