,Quarter,Time,Tm,Detail,ARI,NYG
0,1.0,,Giants,Brad Daluiso 31 yard field goal,0,3
1,3.0,,Giants,Brad Daluiso 32 yard field goal,0,6
2,4.0,,Giants,Thomas Lewis 24 yard pass from Danny Kanell (Brad Daluiso kick),0,13
3,4.0,,Giants,Brad Daluiso 45 yard field goal,0,16
4,4.0,,Cardinals,Frank Sanders 7 yard pass from Boomer Esiason (Boomer Esiason run),8,16
