,Quarter,Tm,Detail,PHI,CLE
0,1.0,Eagles,Bobby Walston 49 yard pass from Norm Van Brocklin (Bobby Walston kick),7,0
1,1.0,Browns,Sam Baker 12 yard field goal,7,3
2,2.0,Browns,Sam Baker 23 yard field goal,7,6
3,2.0,Browns,Leon Clarke 86 yard pass from Milt Plum,7,12
4,2.0,Browns,Sam Baker 44 yard field goal,7,15
5,3.0,Browns,Jim Brown 71 yard rush (Sam Baker kick),7,22
6,3.0,Eagles,Billy Ray Barnes 2 yard rush (Bobby Walston kick),14,22
7,3.0,Eagles,Tommy McDonald 57 yard pass from Norm Van Brocklin (Bobby Walston kick),21,22
8,4.0,Eagles,Billy Ray Barnes 8 yard pass from Norm Van Brocklin (Bobby Walston kick),28,22
9,4.0,Browns,Bobby Mitchell 3 yard pass from Milt Plum (Sam Baker kick),28,29
10,4.0,Eagles,Bobby Walston 38 yard field goal,31,29
