,Quarter,Tm,Detail,DET,CRD
0,1.0,Cardinals,Mal Kutner 9 yard pass from Paul Christman (Pat Harder kick),0,7
1,2.0,Lions,Roy Zimmerman 1 yard rush (Roy Zimmerman kick),7,7
2,2.0,Cardinals,Pat Harder 5 yard rush (Pat Harder kick),7,14
3,2.0,Lions,Bill Dudley 27 yard pass from Clyde LeForce (Roy Zimmerman kick),14,14
4,2.0,Cardinals,Babe Dimancheff 44 yard pass from Paul Christman (Pat Harder kick),14,21
5,3.0,Cardinals,Pat Harder 3 yard rush (Pat Harder kick),14,28
6,3.0,Cardinals,Elmer Angsman 3 yard rush (Pat Harder kick),14,35
7,4.0,Cardinals,Pat Harder 25 yard field goal,14,38
8,4.0,Lions,Ted Cremer 2 yard pass from Clyde LeForce (Roy Zimmerman kick),21,38
9,4.0,Cardinals,Jeff Burkett 17 yard pass from Ray Mallouf (Pat Harder kick),21,45
