,Quarter,Tm,Detail,SFO,STL
0,1.0,49ers,Ray Wersching 36 yard field goal,3,0
1,2.0,49ers,Jeff Moore 1 yard rush (Ray Wersching kick),10,0
2,2.0,Cardinals,Roy Green 17 yard pass from Neil Lomax (Neil O'Donoghue kick),10,7
3,3.0,Cardinals,Neil O'Donoghue 30 yard field goal,10,10
4,3.0,Cardinals,Neil O'Donoghue 32 yard field goal,10,13
5,3.0,49ers,Russ Francis 6 yard pass from Joe Montana (Ray Wersching kick),17,13
6,4.0,49ers,Dwight Clark 33 yard pass from Joe Montana (Ray Wersching kick),24,13
7,4.0,49ers,Earl Cooper 17 yard pass from Joe Montana (Ray Wersching kick),31,13
8,4.0,Cardinals,Ottis Anderson 2 yard rush (Neil O'Donoghue kick),31,20
