,Quarter,Tm,Detail,SFO,NYJ
0,2.0,49ers,Vic Washington 2 yard rush (Bruce Gossett kick),7,0
1,2.0,49ers,Bruce Gossett 25 yard field goal,10,0
2,3.0,49ers,John Brodie 1 yard rush (Bruce Gossett kick),17,0
3,3.0,Jets,Rich Caster 57 yard pass from Joe Namath (Bobby Howfield kick),17,7
4,4.0,49ers,Vic Washington 22 yard pass from John Brodie (Bruce Gossett kick),24,7
5,4.0,Jets,Rich Caster 20 yard pass from Joe Namath (Bobby Howfield kick),24,14
6,4.0,Jets,Eddie Bell 22 yard pass from Joe Namath (Bobby Howfield kick),24,21
