,Quarter,Tm,Detail,MIA,CIN
0,1.0,Dolphins,Karl Noonan 10 yard pass from Bob Griese (Karl Kremser kick),7,0
1,1.0,Bengals,Paul Robinson 4 yard rush (Horst Muhlmann kick),7,7
2,2.0,Dolphins,Mercury Morris 105 yard kickoff return (Karl Kremser kick),14,7
3,2.0,Bengals,Eric Crabtree 69 yard pass from Greg Cook (Horst Muhlmann kick),14,14
4,2.0,Bengals,Eric Crabtree 25 yard pass from Greg Cook (Horst Muhlmann kick),14,21
5,3.0,Bengals,Horst Muhlmann 21 yard field goal,14,24
6,3.0,Bengals,Horst Muhlmann 21 yard field goal,14,27
7,4.0,Dolphins,Jim Kiick 3 yard rush (Karl Kremser kick),21,27
