,Quarter,Tm,Detail,PIT,CIN
0,1.0,Steelers,Gary Anderson 43 yard field goal,3,0
1,1.0,Bengals,Jim Breech 35 yard field goal,3,3
2,2.0,Steelers,Gary Anderson 52 yard field goal,6,3
3,2.0,Steelers,Rod Woodson 45 yard interception return (Gary Anderson kick),13,3
4,2.0,Bengals,Jim Breech 38 yard field goal,13,6
5,3.0,Bengals,Jim Breech 41 yard field goal,13,9
6,3.0,Steelers,Weegie Thompson 14 yard pass from Mark Malone (Gary Anderson kick),20,9
7,4.0,Steelers,Gary Anderson 46 yard field goal,23,9
8,4.0,Bengals,Larry Kinnebrew 2 yard rush (Jim Breech kick),23,16
9,4.0,Steelers,Mark Malone 42 yard rush (Gary Anderson kick),30,16
