,Quarter,Time,Tm,Detail,SDG,GNB
0,1.0,7:07,Chargers,Vincent Jackson 27 yard pass from Philip Rivers (Nate Kaeding kick),7,0
1,1.0,2:40,Packers,Mason Crosby 28 yard field goal,7,3
2,2.0,11:53,Packers,Donald Driver 5 yard pass from Brett Favre (Mason Crosby kick),7,10
3,2.0,2:48,Packers,Bubba Franks 5 yard pass from Brett Favre (Mason Crosby kick),7,17
4,2.0,0:32,Chargers,Craig Davis 9 yard pass from Philip Rivers (Nate Kaeding kick),14,17
5,3.0,9:02,Chargers,LaDainian Tomlinson 21 yard pass from Philip Rivers (Nate Kaeding kick),21,17
6,4.0,2:03,Packers,Greg Jennings 57 yard pass from Brett Favre (Mason Crosby kick),21,24
7,4.0,0:59,Packers,Brandon Jackson 1 yard rush (Mason Crosby kick),21,31
8,4.0,0:20,Chargers,Nate Kaeding 44 yard field goal,24,31
