,Quarter,Time,Tm,Detail,NOR,NYG
0,1.0,5:55,Giants,Kevin Alexander 32 yard pass from Dave Brown (Brad Daluiso kick),0,7
1,1.0,5:55,Saints,Doug Brien 36 yard field goal,3,7
2,2.0,5:55,Giants,Chris Calloway 14 yard pass from Dave Brown (Brad Daluiso kick),3,14
3,2.0,5:55,Saints,Doug Brien 32 yard field goal,6,14
4,4.0,5:55,Saints,Doug Brien 39 yard field goal,9,14
