,Quarter,Tm,Detail,DET,GNB
0,1.0,Packers,Willard Harrell 2 yard rush (Chester Marcol kick),0,7
1,2.0,Packers,Chester Marcol 37 yard field goal,0,10
2,4.0,Lions,Leonard Thompson 16 yard rush (Steve Mike-Mayer kick),7,10
3,4.0,Lions,"Safety, Beverly ran out of end zone",9,10
