,Quarter,Tm,Detail,CIN,GNB
0,1.0,Packers,Hank Bruder 9 yard pass from Arnie Herber (Hank Bruder kick),0,7
1,2.0,Packers,Hank Bruder 3 yard rush (Hank Bruder kick),0,14
2,3.0,Packers,Roger Grove 11 yard pass from Arnie Herber,0,20
3,4.0,Packers,Al Rose 25 yard pass from Arnie Herber (Hank Bruder kick),0,27
4,4.0,Packers,Hank Bruder 55 yard interception return (Hank Bruder kick),0,34
5,4.0,Packers,Joe Laws 10 yard rush (Roger Grove kick),0,41
