,Quarter,Time,Tm,Detail,MIA,WAS
0,2.0,4:51,Redskins,Skip Hicks 8 yard rush (Brett Conway kick),0,7
1,2.0,2:29,Dolphins,Olindo Mare 39 yard field goal,3,7
2,3.0,14:06,Redskins,Irving Fryar 30 yard pass from Rodney Peete (Brett Conway kick),3,14
3,4.0,6:25,Redskins,Larry Centers 4 yard pass from Rodney Peete (Brett Conway kick),3,21
4,4.0,3:09,Dolphins,Oronde Gadsden 4 yard pass from Damon Huard (Olindo Mare kick),10,21
