,Quarter,Time,Tm,Detail,MIN,TAM
0,1.0,,Vikings,Robert Smith 26 yard rush (Scott Sisson kick),7,0
1,3.0,,Buccaneers,Robb Thomas 31 yard pass from Trent Dilfer (Michael Husted kick),7,7
2,3.0,,Vikings,Scott Sisson 33 yard field goal,10,7
3,4.0,,Buccaneers,Mike Alstott 12 yard pass from Trent Dilfer (Michael Husted kick),10,14
4,4.0,,Buccaneers,Robb Thomas 11 yard pass from Trent Dilfer (Michael Husted kick),10,21
5,4.0,,Vikings,Scott Sisson 32 yard field goal,13,21
6,4.0,,Buccaneers,Michael Husted 35 yard field goal,13,24
