,Quarter,Tm,Detail,RAI,HOU
0,1.0,Raiders,Andy Parker 2 yard pass from Marc Wilson (Chris Bahr kick),7,0
1,2.0,Raiders,Todd Christensen 14 yard pass from Marc Wilson (Chris Bahr kick),14,0
2,2.0,Oilers,Ernest Givins 43 yard rush (Tony Zendejas kick),14,7
3,2.0,Raiders,Todd Christensen 32 yard pass from Marc Wilson (Chris Bahr kick),21,7
4,3.0,Raiders,Todd Christensen 3 yard pass from Marc Wilson (Chris Bahr kick),28,7
5,3.0,Oilers,Tony Zendejas 48 yard field goal,28,10
6,3.0,Oilers,Mike Rozier 4 yard rush (Tony Zendejas kick),28,17
