,Quarter,Tm,Detail,WAS,ATL
0,1.0,Redskins,Mark Moseley 45 yard field goal,3,0
1,1.0,Falcons,William Andrews 2 yard rush (Tim Mazzetti kick),3,7
2,2.0,Redskins,Mark Moseley 53 yard field goal,6,7
3,2.0,Redskins,John Riggins 1 yard rush (Mark Moseley kick),13,7
4,3.0,Redskins,Mark Moseley 37 yard field goal,16,7
