,Quarter,Tm,Detail,RAI,BUF
0,1.0,Raiders,Frank Hawkins 2 yard rush (Chris Bahr kick),7,0
1,2.0,Bills,Joe Danelo 48 yard field goal,7,3
2,2.0,Raiders,Chris Bahr 41 yard field goal,10,3
3,3.0,Raiders,Marcus Allen 4 yard rush (Chris Bahr kick),17,3
4,4.0,Raiders,Todd Christensen 15 yard pass from Jim Plunkett (Chris Bahr kick),24,3
5,4.0,Bills,Tony Hunter 23 yard pass from Matt Kofler (Joe Danelo kick),24,10
6,4.0,Bills,Joe Cribbs 1 yard rush (Joe Danelo kick),24,17
7,4.0,Bills,Perry Tuttle 28 yard pass from Matt Kofler (Joe Danelo kick),24,24
8,4.0,Raiders,Chris Bahr 36 yard field goal,27,24
