,Quarter,Tm,Detail,SEA,NYJ
0,2.0,Seahawks,Curt Warner 7 yard rush (Norm Johnson kick),7,0
1,2.0,Seahawks,Norm Johnson 40 yard field goal,10,0
2,2.0,Jets,Pat Leahy 18 yard field goal,10,3
3,4.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),17,3
4,4.0,Jets,Wesley Walker 46 yard pass from Richard Todd (Pat Leahy kick),17,10
