,Quarter,Tm,Detail,SFO,BAL
0,1.0,Colts,Lou Michaels 41 yard field goal,0,3
1,1.0,49ers,Bernie Casey 20 yard pass from John Brodie (Tommy Davis kick),7,3
2,1.0,Colts,Lou Michaels 37 yard field goal,7,6
3,2.0,Colts,Lou Michaels 25 yard field goal,7,9
4,2.0,Colts,John Mackey 57 yard pass from Johnny Unitas (Lou Michaels kick),7,16
5,3.0,Colts,Lou Michaels 23 yard field goal,7,19
6,3.0,Colts,Lou Michaels 30 yard field goal,7,22
7,4.0,Colts,Lenny Moore 1 yard rush (Lou Michaels kick),7,29
8,4.0,Colts,Butch Wilson 7 yard pass from Johnny Unitas (Lou Michaels kick),7,36
9,4.0,49ers,Kent Kramer 17 yard pass from George Mira (Tommy Davis kick),14,36
