,Quarter,Tm,Detail,CHI,NYG
0,2,Giants,Frank Liebel 2 yard pass from Frank Filchock (Ken Strong kick),0,7
1,3,Giants,Frank Filchock 13 yard rush (Ken Strong kick),0,14
