,Quarter,Tm,Detail,RAM,GNB
0,1.0,Rams,Flipper Anderson 16 yard pass from Jim Everett (Tony Zendejas kick),7,0
1,2.0,Rams,Tony Zendejas 19 yard field goal,10,0
2,2.0,Packers,Darrell Thompson 1 yard rush (Chris Jacke kick),10,7
3,2.0,Packers,Terrell Buckley 33 yard interception return (Chris Jacke kick),10,14
4,2.0,Packers,Sterling Sharpe 17 yard pass from Brett Favre (Chris Jacke kick),10,21
5,2.0,Packers,Sterling Sharpe 16 yard pass from Brett Favre (Chris Jacke kick),10,28
6,3.0,Rams,Tony Zendejas 39 yard field goal,13,28
