,Quarter,Time,Tm,Detail,WAS,ARI
0,2.0,14:54,Redskins,Zeron Flemister 2 yard pass from Tony Banks (Brett Conway kick),7,0
1,2.0,6:16,Cardinals,Bill Gramatica 24 yard field goal,7,3
2,2.0,0:00,Redskins,Brett Conway 22 yard field goal,10,3
3,4.0,12:48,Redskins,Brett Conway 42 yard field goal,13,3
4,4.0,8:20,Redskins,Stephen Davis 1 yard rush (Brett Conway kick),20,3
5,4.0,1:16,Cardinals,MarTay Jenkins 10 yard pass from Jake Plummer (Bill Gramatica kick),20,10
