,Quarter,Time,Tm,Detail,SFO,GNB
0,1.0,4:02,Packers,Antonio Freeman 5 yard pass from Brett Favre (Ryan Longwell kick failed),0,6
1,2.0,0:11,49ers,Garrison Hearst 2 yard rush (Jose Cortez kick),7,6
2,3.0,8:52,Packers,Ryan Longwell 26 yard field goal,7,9
3,3.0,3:26,Packers,Bubba Franks 19 yard pass from Brett Favre (pass failed),7,15
4,4.0,12:00,49ers,Tai Streets 14 yard pass from Jeff Garcia (Tai Streets pass from Jeff Garcia ),15,15
5,4.0,7:02,Packers,Ryan Longwell 45 yard field goal,15,18
6,4.0,1:55,Packers,Ahman Green 9 yard rush (Ryan Longwell kick),15,25
