,Quarter,Tm,Detail,HOU,CIN
0,1.0,Bengals,Fred Willis 1 yard rush (Horst Muhlmann kick),0,7
1,1.0,Bengals,Bruce Coslet 6 yard pass from Virgil Carter (Horst Muhlmann kick),0,14
2,2.0,Oilers,Mark Moseley 37 yard field goal,3,14
3,2.0,Bengals,Fred Willis 5 yard rush (Horst Muhlmann kick),3,21
4,3.0,Oilers,Mark Moseley 26 yard field goal,6,21
5,3.0,Bengals,Bob Trumpy 31 yard pass from Virgil Carter (Horst Muhlmann kick),6,28
6,4.0,Oilers,Charlie Joiner 56 yard pass from Charley Johnson (Mark Moseley kick),13,28
