,Quarter,Tm,Detail,PHI,PIT
0,1.0,Steelers,Bobby Layne 6 yard rush (Bobby Layne kick),0,7
1,1.0,Steelers,John Henry Johnson 7 yard pass from Bobby Layne,0,13
2,2.0,Steelers,John Henry Johnson 87 yard rush (Bobby Layne kick),0,20
3,2.0,Steelers,Buddy Dial 15 yard pass from John Henry Johnson (Bobby Layne kick),0,27
4,4.0,Eagles,Timmy Brown 53 yard pass from Sonny Jurgensen (Bobby Walston kick),7,27
5,4.0,Eagles,Timmy Brown 7 yard rush (Bobby Walston kick),14,27
6,4.0,Eagles,Tommy McDonald 19 yard pass from Sonny Jurgensen (Bobby Walston kick),21,27
