,Quarter,Tm,Detail,GNB,SEA
0,1.0,Packers,Max Zendejas 31 yard field goal,3,0
1,2.0,Seahawks,Curt Warner 57 yard rush (Norm Johnson kick),3,7
2,2.0,Packers,Keith Paskett 47 yard pass from Randy Wright (Max Zendejas kick),10,7
3,2.0,Packers,Max Zendejas 48 yard field goal,13,7
4,2.0,Seahawks,Eugene Robinson 8 yard blocked punt return (Norm Johnson kick),13,14
5,2.0,Seahawks,Dave Krieg 8 yard rush (Norm Johnson kick),13,21
6,4.0,Seahawks,Norm Johnson 24 yard field goal,13,24
