,Quarter,Tm,Detail,DEN,KAN
0,1.0,Broncos,Jim Turner 28 yard field goal,3,0
1,2.0,Broncos,Bill Thompson 2 yard defensive fumble return (Jim Turner kick),10,0
2,3.0,Broncos,Haven Moses 16 yard pass from Craig Morton (Jim Turner kick),17,0
3,4.0,Chiefs,Jan Stenerud 44 yard field goal,17,3
4,4.0,Broncos,Rick Upchurch 7 yard pass from Craig Morton (Jim Turner kick),24,3
5,4.0,Chiefs,Arnold Morgado 1 yard rush (Jan Stenerud kick),24,10
