,Quarter,Time,Tm,Detail,MIA,NYG
0,1.0,4:10,Dolphins,Steve Slaton 1 yard rush (Dan Carpenter kick),7,0
1,1.0,0:17,Giants,Lawrence Tynes 25 yard field goal,7,3
2,2.0,9:37,Dolphins,Matt Moore 1 yard rush (Dan Carpenter kick),14,3
3,2.0,0:08,Giants,Mario Manningham 7 yard pass from Eli Manning (Lawrence Tynes kick),14,10
4,3.0,12:17,Dolphins,Dan Carpenter 40 yard field goal,17,10
5,4.0,10:37,Giants,Lawrence Tynes 29 yard field goal,17,13
6,4.0,5:58,Giants,Victor Cruz 25 yard pass from Eli Manning (Lawrence Tynes kick),17,20
