,Quarter,Tm,Detail,CHI,SEA
0,1.0,Seahawks,Norm Johnson 30 yard field goal,0,3
1,1.0,Bears,Brian Baschnagel 39 yard pass from Walter Payton (John Roveto kick),7,3
2,2.0,Seahawks,Jim Zorn 15 yard rush (Norm Johnson kick),7,10
3,2.0,Seahawks,Byron Walker 7 yard pass from Jim Zorn (Norm Johnson kick),7,17
4,4.0,Bears,Matt Suhey 2 yard rush (John Roveto kick),14,17
5,4.0,Seahawks,Norm Johnson 34 yard field goal,14,20
