,Quarter,Time,Tm,Detail,NWE,PIT
0,1.0,8:40,Steelers,Vance McDonald 5 yard pass from Ben Roethlisberger (Chris Boswell kick),0,7
1,1.0,6:48,Patriots,Chris Hogan 63 yard pass from Tom Brady (Stephen Gostkowski kick),7,7
2,2.0,12:01,Steelers,Antonio Brown 17 yard pass from Ben Roethlisberger (Chris Boswell kick),7,14
3,3.0,0:17,Patriots,Stephen Gostkowski 33 yard field goal,10,14
4,4.0,2:30,Steelers,Chris Boswell 48 yard field goal,10,17
