,Quarter,Tm,Detail,SDG,OAK
0,1.0,Chargers,Gary Garrison 5 yard pass from John Hadl (Mike Mercer kick),7,0
1,2.0,Raiders,Charlie Smith 3 yard rush (George Blanda kick),7,7
2,3.0,Chargers,Gary Garrison 15 yard pass from John Hadl (Mike Mercer kick),14,7
3,3.0,Raiders,Charlie Smith 1 yard rush (George Blanda kick),14,14
4,4.0,Raiders,George Blanda 18 yard field goal,14,17
5,4.0,Chargers,Mike Mercer 11 yard field goal,17,17
6,4.0,Raiders,George Blanda 16 yard field goal,17,20
