,Quarter,Tm,Detail,DAL,PHI
0,2.0,Eagles,Charlie Smith 12 yard pass from Ron Jaworski (Horst Muhlmann kick),0,7
1,2.0,Cowboys,Tony Dorsett 5 yard rush,6,7
2,4.0,Cowboys,Charlie Waters 17 yard blocked punt return (Efren Herrera kick),13,7
3,4.0,Cowboys,Efren Herrera 18 yard field goal,16,7
4,4.0,Eagles,Horst Muhlmann 32 yard field goal,16,10
