,Quarter,Tm,Detail,NOR,DET
0,1.0,Lions,Errol Mann 37 yard field goal,0,3
1,1.0,Lions,Ron Jessie 5 yard pass from Bill Munson (Errol Mann kick),0,10
2,2.0,Lions,Levi Johnson 78 yard blocked field goal return,0,16
3,2.0,Saints,Joel Parker 30 yard pass from Archie Manning (Bill McClard kick),7,16
4,2.0,Saints,Howard Stevens 5 yard rush (Bill McClard kick),14,16
5,4.0,Lions,Errol Mann 35 yard field goal,14,19
