,Quarter,Time,Tm,Detail,DAL,CLE
0,1.0,6:40,Cowboys,Marion Barber III 1 yard rush (Nick Folk kick),7,0
1,2.0,12:43,Browns,Kellen Winslow 2 yard pass from Derek Anderson (Phil Dawson kick),7,7
2,2.0,9:48,Cowboys,Terrell Owens 35 yard pass from Tony Romo (Nick Folk kick),14,7
3,2.0,0:26,Cowboys,Marion Barber III 1 yard rush (Nick Folk kick),21,7
4,3.0,6:24,Cowboys,Felix Jones 11 yard rush (Nick Folk kick),28,7
5,4.0,10:13,Browns,Phil Dawson 34 yard field goal,28,10
