,Quarter,Tm,Detail,CIN,SEA
0,2.0,Bengals,Marc Logan 5 yard rush (Massimo Manca kick),7,0
1,2.0,Bengals,David McCluskey 1 yard rush (Massimo Manca kick),14,0
2,2.0,Bengals,Massimo Manca 28 yard field goal,17,0
3,3.0,Seahawks,Scott Hagler 24 yard field goal,17,3
4,4.0,Seahawks,Jimmy Teal 8 yard pass from Bruce Mathison (Scott Hagler kick),17,10
