,Quarter,Tm,Detail,RAM,MIN
0,1.0,Vikings,Sammy White 5 yard pass from Fran Tarkenton (Rick Danmeier kick),0,7
1,2.0,Rams,Frank Corral 31 yard field goal,3,7
2,2.0,Vikings,Rick Danmeier 38 yard field goal,3,10
3,2.0,Rams,Cullen Bryant 6 yard rush (Frank Corral kick),10,10
4,2.0,Rams,Frank Corral 40 yard field goal,13,10
5,3.0,Vikings,Sammy White 29 yard pass from Fran Tarkenton (Rick Danmeier kick),13,17
6,4.0,Rams,Lawrence McCutcheon 3 yard pass from Pat Haden (Frank Corral kick),20,17
7,4.0,Rams,Isiah Robertson 16 yard defensive fumble return (Frank Corral kick),27,17
8,4.0,Rams,John Cappelletti 4 yard rush (Frank Corral kick),34,17
