,Quarter,Time,Tm,Detail,ARI,NYG
0,1.0,,Giants,Charles Way 1 yard pass from Danny Kanell (Brad Daluiso kick),0,7
1,2.0,,Giants,Gary Brown 1 yard rush (Brad Daluiso kick),0,14
2,2.0,,Cardinals,Johnny McWilliams 14 yard pass from Jake Plummer (Joe Nedney kick),7,14
3,2.0,0:05,Giants,Brad Daluiso 26 yard field goal,7,17
4,3.0,0:05,Giants,Brad Daluiso 34 yard field goal,7,20
5,3.0,0:05,Giants,Chris Calloway 19 yard pass from Danny Kanell (Brad Daluiso kick),7,27
6,4.0,0:05,Giants,Amani Toomer 18 yard pass from Danny Kanell (Brad Daluiso kick),7,34
