,Quarter,Tm,Detail,PHI,MIN
0,1.0,Vikings,John Gilliam 44 yard rush (Fred Cox kick),0,7
1,2.0,Vikings,Oscar Reed 1 yard rush (Fred Cox kick),0,14
2,2.0,Eagles,Po James 12 yard rush (Tom Dempsey kick),7,14
3,3.0,Vikings,John Gilliam 24 yard pass from Fran Tarkenton (Fred Cox kick),7,21
4,3.0,Eagles,Lee Bouggess 2 yard rush (Tom Dempsey kick),14,21
5,4.0,Vikings,Chuck Foreman 5 yard rush (Fred Cox kick),14,28
6,4.0,Eagles,Charle Young 17 yard rush (Tom Dempsey kick),21,28
