,Quarter,Tm,Detail,SEA,DEN
0,2.0,Seahawks,Curt Warner 5 yard rush (Norm Johnson kick),7,0
1,2.0,Broncos,Orson Mobley 1 yard pass from John Elway (Rich Karlis kick),7,7
2,3.0,Seahawks,Ray Butler 3 yard pass from Dave Krieg (Norm Johnson kick),14,7
3,3.0,Seahawks,Curt Warner 14 yard pass from Dave Krieg (Norm Johnson kick),21,7
4,4.0,Broncos,Mark Jackson 20 yard pass from John Elway (Rich Karlis kick),21,14
