,Quarter,Tm,Detail,CIN,NWE
0,1.0,Patriots,John Stephens offensive fumble recovery in end zone (Teddy Garcia kick),0,7
1,2.0,Patriots,Mosi Tatupu 3 yard rush (Teddy Garcia kick),0,14
2,3.0,Patriots,Reggie Dupard 3 yard rush,0,20
3,3.0,Bengals,Ickey Woods 1 yard rush (Jim Breech kick),7,20
4,3.0,Bengals,Eddie Brown 26 yard pass from Boomer Esiason (Jim Breech kick),14,20
5,4.0,Patriots,Reggie Dupard 10 yard rush (Teddy Garcia kick),14,27
6,4.0,Bengals,Eddie Brown 16 yard pass from Boomer Esiason (Jim Breech kick),21,27
