,Quarter,Tm,Detail,CHI,CRD
0,1.0,Bears,Paddy Driscoll 40 yard field goal,3,0
1,2.0,Bears,Paddy Driscoll 5 yard rush (Paddy Driscoll kick),10,0
2,2.0,Bears,Paddy Driscoll 25 yard field goal,13,0
3,2.0,Bears,Paddy Driscoll unknown yard field goal,16,0
